path,methods,auth_required,is_admin,imports_db,imports_redis,imports_comfyui,imports_bullmq,imports_workflow,bypasses_orchestrator,replacement_target,compat_status
/api/admin/ai-assistant-config,GET|POST,false,false,true,false,false,false,false,false,/api/v1/admin/ai-assistant-config,pending
/api/admin/api-config,GET|POST|PUT|DELETE,false,false,true,false,false,false,false,false,/api/v1/admin/api-config,pending
/api/admin/api-config-db,GET|PUT,false,false,true,false,false,false,false,false,/api/v1/admin/api-config-db,pending
/api/admin/app-settings,GET|PUT,false,false,true,false,false,false,false,false,/api/v1/admin/app-settings,pending
/api/admin/clear-cache,POST,false,false,false,false,false,false,false,false,/api/v1/admin/clear-cache,pending
/api/admin/comfyui/connections,GET|POST,true,false,true,false,false,false,false,false,/api/v1/admin/comfyui/connections,pending
/api/admin/comfyui/connections/[id],GET|POST|PUT|DELETE,false,false,true,false,false,false,false,false,/api/v1/admin/comfyui/connections/[id],pending
/api/admin/comfyui/workflows/parse,POST,false,false,false,false,false,false,false,false,/api/v1/admin/comfyui/workflows/parse,pending
/api/admin/comfyui/workflows,GET|POST,false,false,true,false,false,false,false,false,/api/v1/admin/comfyui/workflows,pending
/api/admin/comfyui/workflows/[id],GET|POST|PUT|DELETE,false,false,true,false,false,false,false,false,/api/v1/admin/comfyui/workflows/[id],pending
/api/admin/config-status,GET,false,false,false,false,false,false,false,false,/api/v1/admin/config-status,pending
/api/admin/feature-costs,GET|PUT,false,false,true,false,false,false,false,false,/api/v1/admin/feature-costs,pending
/api/admin/features,GET|POST|PATCH,true,true,true,false,false,false,false,false,/api/v1/admin/features,pending
/api/admin/features-status,GET|POST,false,false,false,false,false,false,false,false,/api/v1/admin/features-status,pending
/api/admin/lora,GET|POST,true,true,false,false,false,false,false,false,/api/v1/admin/lora,pending
/api/admin/lora/[id]/toggle,POST,true,true,false,false,false,false,false,false,/api/v1/admin/lora/[id]/toggle,pending
/api/admin/models,GET|POST|PATCH|DELETE,true,true,true,false,false,false,false,false,/api/v1/admin/models,pending
/api/admin/models/upload,POST,true,true,true,false,false,false,false,false,/api/v1/admin/models/upload,pending
/api/admin/power/recharge,POST,false,false,true,false,false,false,false,false,/api/v1/admin/power/recharge,pending
/api/admin/power,GET,false,false,true,false,false,false,false,false,/api/v1/admin/power,pending
/api/admin/power/transactions,GET,false,false,true,false,false,false,false,false,/api/v1/admin/power/transactions,pending
/api/admin/rules,GET|POST|PUT|DELETE,false,false,true,false,false,false,false,false,/api/v1/admin/rules,pending
/api/admin/stats,GET,false,false,true,false,false,false,false,false,/api/v1/admin/stats,pending
/api/admin/system,GET,true,true,false,false,false,false,false,false,/api/v1/admin/system,pending
/api/admin/tasks,GET,true,true,true,false,false,false,false,false,/api/v1/admin/tasks,pending
